config01:Button00:Measurement Value,Reference Value,Threshold,R_THr,Touch ON/OFF Difference,Hysteresis,Status,MEDIAN_9,Average_4,IIR_8,,IIR_16
46045,46072,800,46872,-27,10,0,46176,46222,46263,,46279
46152,46072,800,46872,80,10,0,46176,46146,46249,,46256
46363,46072,800,46872,291,10,0,46269,46170,46263,,46256
46449,46072,800,46872,377,10,0,46343,46252,46286,,46274
46283,46072,800,46872,211,10,0,46283,46311,46285,,46285
46091,46072,800,46872,19,10,0,46269,46296,46260,,46272
45941,46072,800,46872,-131,10,0,46152,46191,46220,,46240
46452,46072,800,46872,380,10,0,46152,46191,46249,,46234
46283,46072,800,46872,211,10,0,46283,46191,46253,,46251
46098,46072,800,46872,26,10,0,46283,46193,46233,,46243
46031,46072,800,46872,-41,10,0,46283,46216,46207,,46220
46137,46072,800,46872,65,10,0,46137,46137,46198,,46202
46320,46072,800,46872,248,10,0,46137,46146,46213,,46205
46456,46072,800,46872,384,10,0,46137,46236,46243,,46228
46323,46072,800,46872,251,10,0,46283,46309,46253,,46248
46136,46072,800,46872,64,10,0,46283,46308,46238,,46245
45977,46072,800,46872,-95,10,0,46137,46223,46205,,46221
45989,46072,800,46872,-83,10,0,46136,46106,46178,,46191
46123,46072,800,46872,51,10,0,46136,46056,46171,,46174
46335,46072,800,46872,263,10,0,46137,46106,46191,,46181
46332,46072,800,46872,260,10,0,46320,46194,46208,,46199
46174,46072,800,46872,102,10,0,46174,46241,46203,,46205
46109,46072,800,46872,37,10,0,46136,46237,46191,,46197
46021,46072,800,46872,-51,10,0,46123,46159,46169,,46180
46162,46072,800,46872,90,10,0,46123,46116,46168,,46168
46337,46072,800,46872,265,10,0,46162,46157,46189,,46178
46575,46072,800,46872,503,10,0,46174,46273,46237,,46213
46403,46072,800,46872,331,10,0,46332,46369,46257,,46247
46228,46072,800,46872,156,10,0,46228,46385,46253,,46255
45968,46072,800,46872,-104,10,0,46174,46293,46217,,46235
45970,46072,800,46872,-102,10,0,46162,46142,46186,,46201
46130,46072,800,46872,58,10,0,46162,46074,46179,,46182
46383,46072,800,46872,311,10,0,46228,46112,46204,,46191
46380,46072,800,46872,308,10,0,46337,46215,46226,,46215
46218,46072,800,46872,146,10,0,46228,46277,46225,,46225
46045,46072,800,46872,-27,10,0,46218,46256,46202,,46213
45900,46072,800,46872,-172,10,0,46130,46135,46164,,46183
45974,46072,800,46872,-98,10,0,46045,46034,46140,,46152
46134,46072,800,46872,62,10,0,46130,46013,46139,,46139
46349,46072,800,46872,277,10,0,46134,46089,46165,,46152
46306,46072,800,46872,234,10,0,46218,46190,46182,,46173
46183,46072,800,46872,111,10,0,46183,46243,46182,,46182
46049,46072,800,46872,-23,10,0,46134,46221,46165,,46173
46044,46072,800,46872,-28,10,0,46049,46145,46149,,46157
46184,46072,800,46872,112,10,0,46134,46115,46153,,46151
46424,46072,800,46872,352,10,0,46183,46175,46186,,46169
46497,46072,800,46872,425,10,0,46184,46287,46224,,46205
46326,46072,800,46872,254,10,0,46306,46357,46236,,46230
46135,46072,800,46872,63,10,0,46184,46345,46223,,46229
45961,46072,800,46872,-111,10,0,46183,46229,46190,,46206
46018,46072,800,46872,-54,10,0,46135,46110,46168,,46179
46412,46072,800,46872,340,10,0,46184,46131,46198,,46183
46341,46072,800,46872,269,10,0,46326,46183,46215,,46206
46177,46072,800,46872,105,10,0,46326,46237,46210,,46212
45815,46072,800,46872,-257,10,0,46177,46186,46160,,46185
45800,46072,800,46872,-272,10,0,46135,46033,46115,,46137
46325,46072,800,46872,253,10,0,46135,46029,46141,,46128
46522,46072,800,46872,450,10,0,46177,46115,46188,,46164
46359,46072,800,46872,287,10,0,46325,46251,46209,,46198
46190,46072,800,46872,118,10,0,46325,46349,46206,,46207
45982,46072,800,46872,-90,10,0,46190,46263,46178,,46192
46022,46072,800,46872,-50,10,0,46177,46138,46158,,46168
46185,46072,800,46872,113,10,0,46185,46094,46161,,46159
46444,46072,800,46872,372,10,0,46190,46158,46196,,46178
46439,46072,800,46872,367,10,0,46325,46272,46226,,46211
46256,46072,800,46872,184,10,0,46256,46331,46229,,46227
46037,46072,800,46872,-35,10,0,46190,46294,46205,,46217
45941,46072,800,46872,-131,10,0,46185,46168,46172,,46188
46016,46072,800,46872,-56,10,0,46037,46062,46152,,46162
46205,46072,800,46872,133,10,0,46185,46049,46158,,46155
46349,46072,800,46872,277,10,0,46205,46127,46181,,46169
46228,46072,800,46872,156,10,0,46228,46199,46186,,46183
46064,46072,800,46872,-8,10,0,46205,46211,46170,,46178
45957,46072,800,46872,-115,10,0,46064,46149,46143,,46156
46007,46072,800,46872,-65,10,0,46037,46064,46126,,46134
46184,46072,800,46872,112,10,0,46064,46053,46133,,46129
46464,46072,800,46872,392,10,0,46184,46153,46174,,46153
46493,46072,800,46872,421,10,0,46205,46287,46213,,46193
46319,46072,800,46872,247,10,0,46228,46365,46226,,46219
46172,46072,800,46872,100,10,0,46184,46362,46219,,46222
46051,46072,800,46872,-21,10,0,46172,46258,46198,,46208
46113,46072,800,46872,41,10,0,46172,46163,46187,,46192
46284,46072,800,46872,212,10,0,46184,46155,46199,,46193
46465,46072,800,46872,393,10,0,46284,46228,46232,,46215
46330,46072,800,46872,258,10,0,46319,46298,46244,,46238
46173,46072,800,46872,101,10,0,46284,46313,46235,,46239
46005,46072,800,46872,-67,10,0,46173,46243,46206,,46220
45977,46072,800,46872,-95,10,0,46172,46121,46177,,46191
46095,46072,800,46872,23,10,0,46113,46062,46166,,46171
46286,46072,800,46872,214,10,0,46173,46090,46181,,46173
46319,46072,800,46872,247,10,0,46284,46169,46198,,46189
46237,46072,800,46872,165,10,0,46237,46234,46202,,46200
46034,46072,800,46872,-38,10,0,46173,46219,46181,,46191
45907,46072,800,46872,-165,10,0,46095,46124,46146,,46163
46014,46072,800,46872,-58,10,0,46034,46048,46129,,46137
46219,46072,800,46872,147,10,0,46095,46043,46140,,46134
46466,46072,800,46872,394,10,0,46219,46151,46180,,46160
46393,46072,800,46872,321,10,0,46237,46273,46206,,46193
46232,46072,800,46872,160,10,0,46232,46327,46209,,46207
46059,46072,800,46872,-13,10,0,46219,46287,46190,,46199
46018,46072,800,46872,-54,10,0,46059,46175,46168,,46179
46086,46072,800,46872,14,10,0,46086,46098,46157,,46162
46309,46072,800,46872,237,10,0,46219,46118,46176,,46166
46385,46072,800,46872,313,10,0,46232,46199,46202,,46189
46256,46072,800,46872,184,10,0,46256,46259,46208,,46205
46136,46072,800,46872,64,10,0,46232,46271,46199,,46203
45970,46072,800,46872,-102,10,0,46136,46186,46170,,46184
45981,46072,800,46872,-91,10,0,46086,46085,46146,,46158
46103,46072,800,46872,31,10,0,46103,46047,46140,,46143
46452,46072,800,46872,380,10,0,46136,46126,46179,,46159
46416,46072,800,46872,344,10,0,46256,46238,46208,,46193
46268,46072,800,46872,196,10,0,46256,46309,46215,,46211
46077,46072,800,46872,5,10,0,46136,46303,46197,,46206
45991,46072,800,46872,-81,10,0,46103,46188,46171,,46184
46088,46072,800,46872,16,10,0,46088,46106,46160,,46165
46269,46072,800,46872,197,10,0,46103,46106,46173,,46166
46265,46072,800,46872,193,10,0,46265,46153,46184,,46178
46052,46072,800,46872,-20,10,0,46265,46168,46167,,46175
45942,46072,800,46872,-130,10,0,46088,46132,46138,,46152
45953,46072,800,46872,-119,10,0,46077,46053,46114,,46126
46074,46072,800,46872,2,10,0,46074,46005,46109,,46111
46300,46072,800,46872,228,10,0,46074,46067,46132,,46120
46298,46072,800,46872,226,10,0,46088,46156,46152,,46142
46123,46072,800,46872,51,10,0,46123,46198,46148,,46150
45955,46072,800,46872,-117,10,0,46074,46169,46123,,46135
45983,46072,800,46872,-89,10,0,46052,46089,46105,,46114
46106,46072,800,46872,34,10,0,46074,46041,46105,,46105
46318,46072,800,46872,246,10,0,46106,46090,46131,,46118
46555,46072,800,46872,483,10,0,46123,46240,46184,,46157
46392,46072,800,46872,320,10,0,46298,46342,46210,,46197
46257,46072,800,46872,185,10,0,46257,46380,46215,,46212
46053,46072,800,46872,-19,10,0,46123,46314,46194,,46204
46029,46072,800,46872,-43,10,0,46106,46182,46173,,46183
46137,46072,800,46872,65,10,0,46137,46119,46168,,46170
46360,46072,800,46872,288,10,0,46257,46144,46192,,46180
46394,46072,800,46872,322,10,0,46318,46230,46217,,46204
46226,46072,800,46872,154,10,0,46257,46279,46218,,46217
46042,46072,800,46872,-30,10,0,46226,46255,46196,,46207
45904,46072,800,46872,-168,10,0,46137,46141,46159,,46177
45971,46072,800,46872,-101,10,0,46053,46035,46135,,46147
46118,46072,800,46872,46,10,0,46118,46008,46132,,46133
46312,46072,800,46872,240,10,0,46137,46076,46154,,46143
46200,46072,800,46872,128,10,0,46200,46150,46159,,46156
46149,46072,800,46872,77,10,0,46149,46194,46157,,46158
46002,46072,800,46872,-70,10,0,46118,46165,46137,,46147
45976,46072,800,46872,-96,10,0,46042,46081,46116,,46126
46085,46072,800,46872,13,10,0,46085,46053,46112,,46114
46319,46072,800,46872,247,10,0,46118,46095,46137,,46124
46394,46072,800,46872,322,10,0,46149,46193,46169,,46153
46240,46072,800,46872,168,10,0,46200,46259,46177,,46173
46032,46072,800,46872,-40,10,0,46149,46246,46158,,46167
45892,46072,800,46872,-180,10,0,46085,46139,46124,,46141
45925,46072,800,46872,-147,10,0,46032,46022,46099,,46111
46055,46072,800,46872,-17,10,0,46055,45976,46093,,46096
46295,46072,800,46872,223,10,0,46085,46041,46118,,46105
46239,46072,800,46872,167,10,0,46239,46128,46133,,46125
46039,46072,800,46872,-33,10,0,46055,46157,46121,,46127
45918,46072,800,46872,-154,10,0,46039,46122,46095,,46108
45822,46072,800,46872,-250,10,0,46032,46004,46060,,46077
45898,46072,800,46872,-174,10,0,45925,45919,46039,,46049
46410,46072,800,46872,338,10,0,46039,46012,46085,,46062
46291,46072,800,46872,219,10,0,46055,46105,46110,,46097
46127,46072,800,46872,55,10,0,46127,46181,46112,,46111
45984,46072,800,46872,-88,10,0,46039,46203,46096,,46104
45995,46072,800,46872,-77,10,0,45995,46099,46083,,46089
46155,46072,800,46872,83,10,0,45995,46065,46092,,46087
46419,46072,800,46872,347,10,0,46127,46138,46132,,46112
46374,46072,800,46872,302,10,0,46155,46235,46162,,46147
46171,46072,800,46872,99,10,0,46171,46279,46163,,46162
46020,46072,800,46872,-52,10,0,46155,46246,46145,,46154
45893,46072,800,46872,-179,10,0,46127,46114,46113,,46129
45955,46072,800,46872,-117,10,0,46020,46009,46093,,46103
46145,46072,800,46872,73,10,0,46145,46003,46099,,46096
46332,46072,800,46872,260,10,0,46155,46081,46128,,46113
46205,46072,800,46872,133,10,0,46171,46159,46137,,46132
46042,46072,800,46872,-30,10,0,46145,46181,46125,,46131
45904,46072,800,46872,-168,10,0,46042,46120,46097,,46111
50185,46072,800,46872,4113,10,0,46042,47084,46608,,46352
49348,46072,800,46872,3276,10,0,46145,47869,46950,,46779
48875,46072,800,46872,2803,10,0,46205,48578,47190,,47070
48282,46072,800,46872,2210,10,0,46332,49172,47326,,47258
47135,46072,800,46872,1063,10,0,47135,48410,47302,,47314
46730,46072,800,46872,658,10,0,47135,47755,47230,,47266
46605,46072,800,46872,533,10,0,47135,47188,47151,,47190
46612,46072,800,46872,540,10,0,47135,46770,47083,,47117
46725,46072,800,46872,653,10,0,47135,46668,47038,,47060
46486,46072,800,46872,414,10,0,46730,46607,46969,,47003
46287,46072,800,46872,215,10,0,46725,46527,46883,,46926
46119,46072,800,46872,47,10,0,46612,46404,46787,,46835
46071,46072,800,46872,-1,10,0,46605,46240,46697,,46742
46114,46072,800,46872,42,10,0,46486,46147,46624,,46660
46297,46072,800,46872,225,10,0,46297,46150,46583,,46603
46329,46072,800,46872,257,10,0,46297,46202,46551,,46567
46160,46072,800,46872,88,10,0,46287,46225,46502,,46526
46078,46072,800,46872,6,10,0,46160,46216,46449,,46475
45953,46072,800,46872,-119,10,0,46119,46130,46387,,46418
46072,46072,800,46872,0,10,0,46114,46065,46347,,46367
46235,46072,800,46872,163,10,0,46114,46084,46333,,46340
46458,46072,800,46872,386,10,0,46160,46179,46348,,46340
46328,46072,800,46872,256,10,0,46235,46273,46345,,46346
46166,46072,800,46872,94,10,0,46166,46296,46322,,46333
46021,46072,800,46872,-51,10,0,46160,46243,46284,,46303
45979,46072,800,46872,-93,10,0,46078,46123,46245,,46264
46091,46072,800,46872,19,10,0,46091,46064,46225,,46235
46280,46072,800,46872,208,10,0,46166,46092,46231,,46228
46365,46072,800,46872,293,10,0,46235,46178,46247,,46239
46190,46072,800,46872,118,10,0,46190,46231,46239,,46243
46060,46072,800,46872,-12,10,0,46166,46223,46216,,46227
45919,46072,800,46872,-153,10,0,46091,46133,46178,,46197
45971,46072,800,46872,-101,10,0,46060,46035,46152,,46165
46078,46072,800,46872,6,10,0,46078,46007,46142,,46147
46277,46072,800,46872,205,10,0,46091,46061,46158,,46150
46311,46072,800,46872,239,10,0,46190,46159,46177,,46167
46191,46072,800,46872,119,10,0,46190,46214,46178,,46177
46008,46072,800,46872,-64,10,0,46078,46196,46156,,46167
45922,46072,800,46872,-150,10,0,46060,46108,46126,,46141
46058,46072,800,46872,-14,10,0,46058,46044,46117,,46121
46307,46072,800,46872,235,10,0,46078,46073,46140,,46128
46461,46072,800,46872,389,10,0,46191,46187,46180,,46160
46231,46072,800,46872,159,10,0,46231,46264,46186,,46183
46078,46072,800,46872,6,10,0,46191,46269,46172,,46179
45911,46072,800,46872,-161,10,0,46078,46170,46139,,46155
45954,46072,800,46872,-118,10,0,46058,46043,46115,,46127
46111,46072,800,46872,39,10,0,46078,46013,46114,,46114
46350,46072,800,46872,278,10,0,46111,46081,46143,,46128
46346,46072,800,46872,274,10,0,46231,46190,46168,,46155
46196,46072,800,46872,124,10,0,46196,46250,46171,,46169
46063,46072,800,46872,-9,10,0,46111,46238,46157,,46164
45940,46072,800,46872,-132,10,0,46078,46136,46129,,46143
48000,13304,800,14104,34696,10,0,46111,46549,46362,,46245
46259,46072,800,46872,187,10,0,46196,46565,46349,,46355
46561,46072,800,46872,489,10,0,46259,46690,46375,,46362
46404,46072,800,46872,332,10,0,46346,46806,46378,,46376
46216,46072,800,46872,144,10,0,46259,46360,46357,,46367
46054,46072,800,46872,-18,10,0,46216,46308,46319,,46338
45996,46072,800,46872,-76,10,0,46216,46167,46278,,46298
46119,46072,800,46872,47,10,0,46216,46096,46258,,46268
46338,46072,800,46872,266,10,0,46259,46126,46268,,46263
46357,46072,800,46872,285,10,0,46259,46202,46279,,46273
46185,46072,800,46872,113,10,0,46216,46249,46267,,46273
46054,46072,800,46872,-18,10,0,46185,46233,46240,,46253
45914,46072,800,46872,-158,10,0,46119,46127,46199,,46219
45979,46072,800,46872,-93,10,0,46054,46033,46171,,46185
46124,46072,800,46872,52,10,0,46119,46017,46165,,46168
46313,46072,800,46872,241,10,0,46124,46082,46183,,46174
46194,46072,800,46872,122,10,0,46185,46152,46184,,46183
46054,46072,800,46872,-18,10,0,46124,46171,46167,,46175
45988,46072,800,46872,-84,10,0,46054,46137,46144,,46155
46164,46072,800,46872,92,10,0,46054,46100,46146,,46145
46422,46072,800,46872,350,10,0,46124,46157,46180,,46163
46476,46072,800,46872,404,10,0,46164,46262,46217,,46198
46310,46072,800,46872,238,10,0,46194,46343,46228,,46222
46112,46072,800,46872,40,10,0,46194,46330,46213,,46220
45939,46072,800,46872,-133,10,0,46164,46209,46178,,46195
45992,46072,800,46872,-80,10,0,46112,46088,46154,,46166
46166,46072,800,46872,94,10,0,46164,46052,46155,,46154
46398,46072,800,46872,326,10,0,46166,46123,46185,,46170
46305,46072,800,46872,233,10,0,46305,46215,46200,,46192
46120,46072,800,46872,48,10,0,46166,46247,46190,,46195
45996,46072,800,46872,-76,10,0,46120,46204,46165,,46177
45928,46072,800,46872,-144,10,0,46112,46087,46135,,46150
46011,46072,800,46872,-61,10,0,46011,46013,46119,,46127
46170,46072,800,46872,98,10,0,46120,46026,46125,,46122
46265,46072,800,46872,193,10,0,46166,46093,46142,,46133
46231,46072,800,46872,159,10,0,46170,46169,46153,,46147
46084,46072,800,46872,12,10,0,46120,46187,46144,,46148
45929,46072,800,46872,-143,10,0,46084,46127,46117,,46130
45963,46072,800,46872,-109,10,0,46011,46051,46097,,46107
46128,46072,800,46872,56,10,0,46084,46026,46100,,46098
46382,46072,800,46872,310,10,0,46128,46100,46135,,46117
46260,46072,800,46872,188,10,0,46170,46183,46150,,46142
46121,46072,800,46872,49,10,0,46128,46222,46146,,46148
45958,46072,800,46872,-114,10,0,46121,46180,46122,,46134
45885,46072,800,46872,-187,10,0,46084,46056,46092,,46107
45972,46072,800,46872,-100,10,0,45972,45984,46077,,46084
46143,46072,800,46872,71,10,0,46121,45989,46085,,46081
46321,46072,800,46872,249,10,0,46128,46080,46114,,46099
46174,46072,800,46872,102,10,0,46143,46152,46121,,46117
46031,46072,800,46872,-41,10,0,46121,46167,46109,,46115
45929,46072,800,46872,-143,10,0,46031,46113,46086,,46097
45925,46072,800,46872,-147,10,0,45972,46014,46065,,46075
46028,46072,800,46872,-44,10,0,46028,45978,46060,,46062
46361,46072,800,46872,289,10,0,46031,46060,46097,,46078
46361,46072,800,46872,289,10,0,46143,46168,46130,,46113
46230,46072,800,46872,158,10,0,46174,46245,46142,,46136
46092,46072,800,46872,20,10,0,46092,46261,46135,,46138
45996,46072,800,46872,-76,10,0,46031,46169,46117,,46126
46090,46072,800,46872,18,10,0,46090,46102,46113,,46115
46272,46072,800,46872,200,10,0,46092,46112,46132,,46122
46451,46072,800,46872,379,10,0,46230,46202,46171,,46151
46318,46072,800,46872,246,10,0,46272,46282,46189,,46180
46144,46072,800,46872,72,10,0,46230,46296,46183,,46186
46011,46072,800,46872,-61,10,0,46144,46231,46161,,46172
45976,46072,800,46872,-96,10,0,46092,46112,46137,,46149
46087,46072,800,46872,15,10,0,46090,46054,46130,,46133
46249,46072,800,46872,177,10,0,46144,46080,46144,,46137
46099,46072,800,46872,27,10,0,46144,46102,46138,,46141
45982,46072,800,46872,-90,10,0,46099,46104,46118,,46128
45969,46072,800,46872,-103,10,0,46087,46074,46099,,46108
46086,46072,800,46872,14,10,0,46086,46034,46097,,46098
46269,46072,800,46872,197,10,0,46086,46076,46118,,46107
46536,46072,800,46872,464,10,0,46087,46215,46170,,46144
46430,46072,800,46872,358,10,0,46099,46330,46202,,46186
46255,46072,800,46872,183,10,0,46249,46372,46208,,46205
46081,46072,800,46872,9,10,0,46099,46325,46192,,46200
46006,46072,800,46872,-66,10,0,46086,46193,46168,,46180
46102,46072,800,46872,30,10,0,46102,46111,46159,,46163
46302,46072,800,46872,230,10,0,46255,46122,46176,,46167
46426,46072,800,46872,354,10,0,46269,46209,46207,,46191
46279,46072,800,46872,207,10,0,46279,46277,46216,,46211
46109,46072,800,46872,37,10,0,46255,46279,46202,,46209
45936,46072,800,46872,-136,10,0,46109,46187,46168,,46185
46095,46072,800,46872,23,10,0,46102,46104,46158,,46163
46287,46072,800,46872,215,10,0,46109,46106,46174,,46166
46266,46072,800,46872,194,10,0,46266,46146,46185,,46179
46219,46072,800,46872,147,10,0,46266,46216,46189,,46187
46078,46072,800,46872,6,10,0,46219,46212,46175,,46182
46007,46072,800,46872,-65,10,0,46109,46142,46154,,46164
46130,46072,800,46872,58,10,0,46109,46108,46151,,46152
46329,46072,800,46872,257,10,0,46130,46136,46173,,46162
46380,46072,800,46872,308,10,0,46219,46211,46198,,46185
46239,46072,800,46872,167,10,0,46239,46269,46203,,46200
46105,46072,800,46872,33,10,0,46219,46263,46190,,46196
45944,46072,800,46872,-128,10,0,46130,46167,46159,,46174
45976,46072,800,46872,-96,10,0,46105,46066,46136,,46147
46088,46072,800,46872,16,10,0,46105,46028,46130,,46133
46299,46072,800,46872,227,10,0,46130,46076,46151,,46140
46276,46072,800,46872,204,10,0,46239,46159,46166,,46158
46147,46072,800,46872,75,10,0,46147,46202,46163,,46164
45984,46072,800,46872,-88,10,0,46105,46176,46140,,46151
45877,46072,800,46872,-195,10,0,46088,46071,46107,,46123
45934,46072,800,46872,-138,10,0,45984,45985,46085,,46096
46089,46072,800,46872,17,10,0,46088,45971,46085,,46085
46459,46072,800,46872,387,10,0,46089,46089,46131,,46108
46324,46072,800,46872,252,10,0,46147,46201,46155,,46143
46166,46072,800,46872,94,10,0,46147,46259,46156,,46155
45980,46072,800,46872,-92,10,0,46089,46232,46134,,46145
45976,46072,800,46872,-96,10,0,45984,46111,46114,,46124
46108,46072,800,46872,36,10,0,46089,46057,46113,,46113
46371,46072,800,46872,299,10,0,46108,46108,46145,,46129
46393,46072,800,46872,321,10,0,46166,46212,46176,,46160
46230,46072,800,46872,158,10,0,46230,46275,46182,,46179
46048,46072,800,46872,-24,10,0,46166,46260,46165,,46173
45913,46072,800,46872,-159,10,0,46108,46146,46133,,46149
45974,46072,800,46872,-98,10,0,46048,46041,46113,,46123
46136,46072,800,46872,64,10,0,46108,46017,46115,,46114
46201,46072,800,46872,129,10,0,46136,46056,46125,,46120
46135,46072,800,46872,63,10,0,46136,46111,46126,,46125
46009,46072,800,46872,-63,10,0,46135,46120,46111,,46118
45913,46072,800,46872,-159,10,0,46048,46064,46086,,46098
50818,46072,800,46872,4746,10,0,46048,47218,46677,,46381
50012,46072,800,46872,3940,10,0,46135,48188,47093,,46885
49549,46072,800,46872,3477,10,0,46136,49073,47400,,47246
48983,46072,800,46872,2911,10,0,46201,49840,47597,,47498
48273,46072,800,46872,2201,10,0,48273,49204,47681,,47639
47645,46072,800,46872,1573,10,0,48273,48612,47676,,47678
47120,46072,800,46872,1048,10,0,48273,48005,47606,,47641
46982,46072,800,46872,910,10,0,48273,47505,47528,,47567
46997,46072,800,46872,925,10,0,48273,47186,47461,,47494
47134,46072,800,46872,1062,10,0,47645,47058,47420,,47440
46871,46072,800,46872,799,10,0,47134,46996,47351,,47385
46579,46072,800,46872,507,10,0,47120,46895,47254,,47302
46297,46072,800,46872,225,10,0,46997,46720,47134,,47194
46192,46072,800,46872,120,10,0,46982,46484,47016,,47075
46266,46072,800,46872,194,10,0,46871,46333,46922,,46969
46466,46072,800,46872,394,10,0,46579,46305,46865,,46893
46551,46072,800,46872,479,10,0,46551,46368,46825,,46845
46350,46072,800,46872,278,10,0,46466,46408,46765,,46795
46262,46072,800,46872,190,10,0,46350,46407,46702,,46733
46116,46072,800,46872,44,10,0,46297,46319,46628,,46665
46189,46072,800,46872,117,10,0,46266,46229,46573,,46600
46375,46072,800,46872,303,10,0,46266,46235,46548,,46560
46736,46072,800,46872,664,10,0,46350,46354,46571,,46559
46621,46072,800,46872,549,10,0,46375,46480,46577,,46574
46438,46072,800,46872,366,10,0,46375,46542,46559,,46568
46188,46072,800,46872,116,10,0,46350,46495,46512,,46535
46106,46072,800,46872,34,10,0,46262,46338,46461,,46486
46201,46072,800,46872,129,10,0,46201,46233,46428,,46444
46507,46072,800,46872,435,10,0,46375,46250,46437,,46432
46305,46072,800,46872,233,10,0,46375,46279,46420,,46428
46112,46072,800,46872,40,10,0,46305,46281,46381,,46400
45951,46072,800,46872,-121,10,0,46201,46218,46327,,46354
45959,46072,800,46872,-113,10,0,46188,46081,46281,,46304
46102,46072,800,46872,30,10,0,46112,46031,46258,,46269
46276,46072,800,46872,204,10,0,46112,46072,46260,,46259
46353,46072,800,46872,281,10,0,46201,46172,46271,,46265
46191,46072,800,46872,119,10,0,46191,46230,46261,,46266
46021,46072,800,46872,-51,10,0,46112,46210,46231,,46246
45925,46072,800,46872,-147,10,0,46102,46122,46192,,46211
46066,46072,800,46872,-6,10,0,46066,46050,46176,,46184
46259,46072,800,46872,187,10,0,46102,46067,46186,,46181
46461,46072,800,46872,389,10,0,46191,46177,46220,,46203
46326,46072,800,46872,254,10,0,46259,46278,46233,,46226
46139,46072,800,46872,67,10,0,46191,46296,46221,,46227
45993,46072,800,46872,-79,10,0,46139,46229,46192,,46206
46003,46072,800,46872,-69,10,0,46066,46115,46168,,46180
46119,46072,800,46872,47,10,0,46119,46063,46161,,46164
46263,46072,800,46872,191,10,0,46139,46094,46173,,46167
46300,46072,800,46872,228,10,0,46259,46171,46188,,46180
46136,46072,800,46872,64,10,0,46139,46204,46181,,46184
45976,46072,800,46872,-96,10,0,46136,46168,46155,,46168
45858,46072,800,46872,-214,10,0,46119,46067,46117,,46136
46192,46072,800,46872,120,10,0,46119,46040,46126,,46121
46500,46072,800,46872,428,10,0,46136,46131,46172,,46149
46382,46072,800,46872,310,10,0,46192,46233,46198,,46185
46208,46072,800,46872,136,10,0,46208,46320,46199,,46198
46026,46072,800,46872,-46,10,0,46192,46279,46177,,46188
45975,46072,800,46872,-97,10,0,46136,46147,46151,,46164
46088,46072,800,46872,16,10,0,46088,46074,46143,,46147
46163,46072,800,46872,91,10,0,46163,46063,46145,,46144
46253,46072,800,46872,181,10,0,46192,46119,46158,,46151
46126,46072,800,46872,54,10,0,46163,46157,46154,,46156
45983,46072,800,46872,-89,10,0,46126,46131,46132,,46143
45858,46072,800,46872,-214,10,0,46088,46055,46097,,46114
45917,46072,800,46872,-155,10,0,46026,45971,46074,,46085
46073,46072,800,46872,1,10,0,46073,45957,46073,,46073
46299,46072,800,46872,227,10,0,46088,46036,46101,,46087
46227,46072,800,46872,155,10,0,46126,46129,46116,,46108
46035,46072,800,46872,-37,10,0,46073,46158,46105,,46110
45932,46072,800,46872,-140,10,0,46035,46123,46083,,46094
45907,46072,800,46872,-165,10,0,45983,46025,46061,,46072
46049,46072,800,46872,-23,10,0,46035,45980,46059,,46060
46304,46072,800,46872,232,10,0,46049,46048,46089,,46074
46492,46072,800,46872,420,10,0,46073,46188,46139,,46114
46306,46072,800,46872,234,10,0,46227,46287,46159,,46149
46156,46072,800,46872,84,10,0,46156,46314,46158,,46158
46000,46072,800,46872,-72,10,0,46049,46238,46138,,46148
46026,46072,800,46872,-46,10,0,46049,46122,46124,,46131
46170,46072,800,46872,98,10,0,46156,46088,46129,,46126
46406,46072,800,46872,334,10,0,46170,46150,46163,,46146
46388,46072,800,46872,316,10,0,46304,46247,46191,,46177
46234,46072,800,46872,162,10,0,46234,46299,46196,,46193
46105,46072,800,46872,33,10,0,46170,46283,46184,,46190
45978,46072,800,46872,-94,10,0,46156,46176,46158,,46171
46024,46072,800,46872,-48,10,0,46105,46085,46141,,46149
46110,46072,800,46872,38,10,0,46110,46054,46137,,46139
46255,46072,800,46872,183,10,0,46170,46091,46151,,46144
46181,46072,800,46872,109,10,0,46181,46142,46154,,46152
46068,46072,800,46872,-4,10,0,46110,46153,46143,,46148
45951,46072,800,46872,-121,10,0,46105,46113,46119,,46131
45979,46072,800,46872,-93,10,0,46068,46044,46101,,46110
46125,46072,800,46872,53,10,0,46068,46030,46104,,46102
46387,46072,800,46872,315,10,0,46110,46110,46139,,46121
46243,46072,800,46872,171,10,0,46125,46183,46152,,46145
46090,46072,800,46872,18,10,0,46125,46211,46144,,46148
45956,46072,800,46872,-116,10,0,46090,46169,46120,,46132
46018,46072,800,46872,-54,10,0,46068,46076,46107,,46113
46230,46072,800,46872,158,10,0,46090,46073,46122,,46114
46428,46072,800,46872,356,10,0,46125,46158,46160,,46141
46317,46072,800,46872,245,10,0,46230,46248,46179,,46169
46142,46072,800,46872,70,10,0,46230,46279,46174,,46176
45993,46072,800,46872,-79,10,0,46142,46220,46151,,46162
45978,46072,800,46872,-94,10,0,46090,46107,46129,,46140
46045,46072,800,46872,-27,10,0,46045,46039,46118,,46123
46373,46072,800,46872,301,10,0,46142,46097,46149,,46133
46458,46072,800,46872,386,10,0,46230,46213,46187,,46168
46324,46072,800,46872,252,10,0,46317,46300,46204,,46195
46144,46072,800,46872,72,10,0,46144,46324,46196,,46200
