config01:Button00:Measurement Value,Reference Value,Threshold,R_THr,Touch ON/OFF Difference,Hysteresis,Status,MEDIAN_9,Average_4,IIR_8,,IIR_16
45912,45937,800,46737,-25,10,0,45889,45902,45890,,45888
45928,45937,800,46737,-9,10,0,45901,45903,45894,,45892
45928,45937,800,46737,-9,10,0,45912,45910,45898,,45896
45929,45937,800,46737,-8,10,0,45912,45924,45901,,45899
45939,45937,800,46737,2,10,0,45924,45931,45905,,45903
45853,45937,800,46737,-84,10,0,45924,45912,45898,,45901
45827,45937,800,46737,-110,10,0,45912,45887,45889,,45893
45872,45937,800,46737,-65,10,0,45912,45872,45886,,45887
45849,45937,800,46737,-88,10,0,45912,45850,45881,,45883
45897,45937,800,46737,-40,10,0,45897,45861,45883,,45882
45917,45937,800,46737,-20,10,0,45897,45883,45887,,45885
45857,45937,800,46737,-80,10,0,45872,45880,45883,,45885
45815,45937,800,46737,-122,10,0,45857,45871,45874,,45878
45883,45937,800,46737,-54,10,0,45857,45868,45875,,45874
45931,45937,800,46737,-6,10,0,45872,45871,45882,,45878
45956,45937,800,46737,19,10,0,45883,45896,45891,,45886
45969,45937,800,46737,32,10,0,45897,45934,45900,,45895
46010,45937,800,46737,73,10,0,45917,45966,45913,,45906
45941,45937,800,46737,4,10,0,45931,45969,45916,,45914
45898,45937,800,46737,-39,10,0,45931,45954,45913,,45914
45951,45937,800,46737,14,10,0,45941,45950,45917,,45915
45875,45937,800,46737,-62,10,0,45941,45916,45911,,45914
45889,45937,800,46737,-48,10,0,45941,45903,45908,,45909
45896,45937,800,46737,-41,10,0,45941,45902,45906,,45907
45866,45937,800,46737,-71,10,0,45898,45881,45901,,45903
45810,45937,800,46737,-127,10,0,45896,45865,45889,,45895
45831,45937,800,46737,-106,10,0,45889,45850,45881,,45885
45921,45937,800,46737,-16,10,0,45889,45857,45886,,45883
45850,45937,800,46737,-87,10,0,45875,45853,45881,,45883
45903,45937,800,46737,-34,10,0,45875,45876,45883,,45882
45889,45937,800,46737,-48,10,0,45889,45890,45883,,45883
45841,45937,800,46737,-96,10,0,45866,45870,45877,,45880
45865,45937,800,46737,-72,10,0,45865,45874,45875,,45876
45839,45937,800,46737,-98,10,0,45850,45858,45870,,45872
45871,45937,800,46737,-66,10,0,45865,45854,45870,,45870
45897,45937,800,46737,-40,10,0,45871,45868,45873,,45871
45890,45937,800,46737,-47,10,0,45871,45874,45875,,45874
45841,45937,800,46737,-96,10,0,45871,45874,45870,,45872
45873,45937,800,46737,-64,10,0,45871,45875,45870,,45870
45929,45937,800,46737,-8,10,0,45871,45883,45877,,45873
45829,45937,800,46737,-108,10,0,45871,45868,45871,,45874
45863,45937,800,46737,-74,10,0,45871,45873,45870,,45870
45896,45937,800,46737,-41,10,0,45873,45879,45873,,45871
45935,45937,800,46737,-2,10,0,45890,45880,45880,,45876
45911,45937,800,46737,-26,10,0,45890,45901,45883,,45881
47640,45937,800,46737,1703,10,0,45896,46345,46102,,45992
47209,45937,800,46737,1272,10,0,45911,46673,46240,,46171
46898,45937,800,46737,961,10,0,45929,46914,46322,,46281
46657,45937,800,46737,720,10,0,45935,47101,46363,,46342
46464,45937,800,46737,527,10,0,46464,46807,46375,,46369
46270,45937,800,46737,333,10,0,46464,46572,46361,,46368
46194,45937,800,46737,257,10,0,46464,46396,46340,,46350
46185,45937,800,46737,248,10,0,46464,46278,46320,,46330
46043,45937,800,46737,106,10,0,46464,46173,46285,,46302
46058,45937,800,46737,121,10,0,46270,46120,46256,,46270
46078,45937,800,46737,141,10,0,46194,46091,46233,,46244
46072,45937,800,46737,135,10,0,46185,46062,46212,,46222
45971,45937,800,46737,34,10,0,46078,46044,46181,,46196
45988,45937,800,46737,51,10,0,46072,46027,46156,,46168
45979,45937,800,46737,42,10,0,46058,46002,46133,,46144
45994,45937,800,46737,57,10,0,46043,45983,46115,,46124
46036,45937,800,46737,99,10,0,46036,45999,46105,,46110
45966,45937,800,46737,29,10,0,45994,45993,46087,,46096
45916,45937,800,46737,-21,10,0,45988,45978,46065,,46076
45957,45937,800,46737,20,10,0,45979,45968,46051,,46058
45900,45937,800,46737,-37,10,0,45971,45934,46032,,46041
45978,45937,800,46737,41,10,0,45978,45937,46025,,46028
45955,45937,800,46737,18,10,0,45966,45947,46016,,46020
46011,45937,800,46737,74,10,0,45966,45961,46015,,46015
45964,45937,800,46737,27,10,0,45964,45977,46008,,46011
45948,45937,800,46737,11,10,0,45957,45969,46000,,46004
45987,45937,800,46737,50,10,0,45957,45977,45998,,45999
45958,45937,800,46737,21,10,0,45958,45964,45993,,45995
45937,45937,800,46737,0,10,0,45958,45957,45986,,45989
45864,45937,800,46737,-73,10,0,45958,45936,45970,,45978
45851,45912,800,46712,-61,10,0,45955,45902,45955,,45962
45854,45912,800,46712,-58,10,0,45948,45876,45942,,45948
45923,45912,800,46712,11,10,0,45937,45873,45939,,45940
45905,45912,800,46712,-7,10,0,45923,45883,45934,,45936
45897,45912,800,46712,-15,10,0,45905,45894,45929,,45931
45904,45912,800,46712,-8,10,0,45904,45907,45925,,45927
45918,45912,800,46712,6,10,0,45904,45906,45924,,45924
45843,45912,800,46712,-69,10,0,45897,45890,45913,,45918
45860,45912,800,46712,-52,10,0,45897,45881,45906,,45909
45917,45912,800,46712,5,10,0,45904,45884,45907,,45906
45853,45912,800,46712,-59,10,0,45904,45868,45900,,45903
45883,45912,800,46712,-29,10,0,45897,45878,45897,,45898
45777,45912,800,46712,-135,10,0,45883,45857,45882,,45889
45795,45912,800,46712,-117,10,0,45860,45827,45871,,45876
45775,45912,800,46712,-137,10,0,45853,45807,45859,,45865
45841,45912,800,46712,-71,10,0,45843,45797,45856,,45857
45864,45912,800,46712,-48,10,0,45853,45818,45857,,45856
45889,45912,800,46712,-23,10,0,45853,45842,45861,,45859
45944,45912,800,46712,32,10,0,45853,45884,45871,,45866
45870,45912,800,46712,-42,10,0,45864,45891,45870,,45870
45873,45912,800,46712,-39,10,0,45864,45894,45870,,45870
45955,45912,800,46712,43,10,0,45870,45910,45880,,45875
45860,45912,800,46712,-52,10,0,45870,45889,45877,,45878
45873,45912,800,46712,-39,10,0,45873,45890,45876,,45876
45898,45912,800,46712,-14,10,0,45873,45896,45878,,45877
45932,45912,800,46712,20,10,0,45889,45890,45884,,45881
45909,45912,800,46712,-3,10,0,45898,45903,45887,,45885
45971,45912,800,46712,59,10,0,45898,45927,45897,,45892
45947,45912,800,46712,35,10,0,45909,45939,45903,,45900
45938,45912,800,46712,26,10,0,45932,45941,45907,,45905
45944,45912,800,46712,32,10,0,45932,45950,45911,,45909
45967,45912,800,46712,55,10,0,45938,45949,45918,,45914
45904,45912,800,46712,-8,10,0,45938,45938,45916,,45917
45892,45912,800,46712,-20,10,0,45938,45926,45913,,45914
45974,45912,800,46712,62,10,0,45944,45934,45920,,45916
45910,45912,800,46712,-2,10,0,45944,45920,45918,,45919
45923,45912,800,46712,11,10,0,45938,45924,45918,,45918
45949,45912,800,46712,37,10,0,45938,45939,45921,,45919
45980,45912,800,46712,68,10,0,45944,45940,45928,,45924
45919,45912,800,46712,7,10,0,45923,45942,45926,,45927
45964,45912,800,46712,52,10,0,45923,45953,45930,,45928
46011,45912,800,46712,99,10,0,45949,45968,45940,,45935
45972,45912,800,46712,60,10,0,45964,45966,45944,,45942
45954,45912,800,46712,42,10,0,45954,45975,45945,,45944
45953,45912,800,46712,41,10,0,45954,45972,45946,,45945
45895,45912,800,46712,-17,10,0,45954,45943,45939,,45942
45860,45912,800,46712,-52,10,0,45954,45915,45929,,45934
45917,45912,800,46712,5,10,0,45953,45906,45927,,45928
45902,45912,800,46712,-10,10,0,45953,45893,45923,,45925
45905,45912,800,46712,-7,10,0,45917,45896,45920,,45921
45905,45912,800,46712,-7,10,0,45905,45907,45918,,45919
45889,45912,800,46712,-23,10,0,45905,45900,45914,,45916
45905,45912,800,46712,-7,10,0,45905,45901,45912,,45913
45966,45912,800,46712,54,10,0,45905,45916,45918,,45915
45917,45912,800,46712,5,10,0,45905,45919,45917,,45917
45927,45912,800,46712,15,10,0,45905,45928,45918,,45917
45950,45912,800,46712,38,10,0,45905,45940,45922,,45920
45884,45912,800,46712,-28,10,0,45905,45919,45917,,45919
45897,45912,800,46712,-15,10,0,45905,45914,45914,,45915
45846,45912,800,46712,-66,10,0,45905,45894,45905,,45909
45883,45912,800,46712,-29,10,0,45905,45877,45902,,45903
45880,45912,800,46712,-32,10,0,45897,45876,45899,,45900
45912,45912,800,46712,0,10,0,45897,45880,45900,,45899
45821,45912,800,46712,-91,10,0,45884,45874,45890,,45895
45813,45912,800,46712,-99,10,0,45883,45856,45880,,45885
45901,45912,800,46712,-11,10,0,45883,45861,45882,,45881
45829,45912,800,46712,-83,10,0,45880,45841,45875,,45878
45868,45912,800,46712,-44,10,0,45868,45852,45874,,45874
45905,45912,800,46712,-7,10,0,45880,45875,45877,,45875
45946,45912,800,46712,34,10,0,45880,45887,45885,,45881
45915,45912,800,46712,3,10,0,45901,45908,45888,,45886
45973,45912,800,46712,61,10,0,45901,45934,45898,,45893
45970,45912,800,46712,58,10,0,45905,45951,45907,,45902
45984,45912,800,46712,72,10,0,45915,45960,45916,,45911
46123,45912,800,46712,211,10,0,45946,46012,45941,,45928
46117,45912,800,46712,205,10,0,45970,46048,45963,,45952
46008,45912,800,46712,96,10,0,45973,46058,45968,,45965
45973,45912,800,46712,61,10,0,45973,46055,45968,,45968
46034,45912,800,46712,122,10,0,45984,46033,45976,,45972
45904,45912,800,46712,-8,10,0,45984,45979,45967,,45971
45949,45912,800,46712,37,10,0,45984,45965,45964,,45965
45921,45912,800,46712,9,10,0,45984,45952,45958,,45961
45881,45912,800,46712,-31,10,0,45973,45913,45948,,45953
45891,45912,800,46712,-21,10,0,45949,45910,45940,,45944
45888,45912,800,46712,-24,10,0,45921,45895,45933,,45936
45899,45912,800,46712,-13,10,0,45904,45889,45928,,45930
45864,45912,800,46712,-48,10,0,45899,45885,45920,,45924
45904,45912,800,46712,-8,10,0,45899,45888,45918,,45919
45899,45912,800,46712,-13,10,0,45899,45891,45915,,45916
45849,45912,800,46712,-63,10,0,45891,45879,45906,,45910
45912,45912,800,46712,0,10,0,45891,45891,45906,,45906
45856,45912,800,46712,-56,10,0,45891,45879,45899,,45902
45879,45912,800,46712,-33,10,0,45888,45874,45896,,45897
45875,45912,800,46712,-37,10,0,45879,45880,45893,,45894
45934,45912,800,46712,22,10,0,45879,45886,45898,,45895
45898,45912,800,46712,-14,10,0,45898,45896,45898,,45898
45918,45912,800,46712,6,10,0,45898,45906,45900,,45899
45968,45912,800,46712,56,10,0,45898,45929,45908,,45904
45939,45912,800,46712,27,10,0,45912,45930,45911,,45909
45909,45912,800,46712,-3,10,0,45909,45933,45910,,45910
45902,45912,800,46712,-10,10,0,45909,45929,45909,,45909
45851,45912,800,46712,-61,10,0,45909,45900,45901,,45905
45833,45912,800,46712,-79,10,0,45909,45873,45892,,45896
45902,45912,800,46712,-10,10,0,45902,45872,45893,,45892
45882,45912,800,46712,-30,10,0,45902,45867,45891,,45892
45897,45912,800,46712,-15,10,0,45902,45878,45891,,45891
45887,45912,800,46712,-25,10,0,45897,45892,45890,,45890
45890,45912,800,46712,-22,10,0,45890,45889,45890,,45890
45841,45912,800,46712,-71,10,0,45887,45878,45883,,45886
45860,45912,800,46712,-52,10,0,45882,45869,45880,,45881
45913,45912,800,46712,1,10,0,45887,45876,45884,,45882
45858,45912,800,46712,-54,10,0,45887,45868,45880,,45882
45745,45912,800,46712,-167,10,0,45882,45844,45863,,45871
45782,45912,800,46712,-130,10,0,45860,45824,45852,,45857
45785,45912,800,46712,-127,10,0,45858,45792,45843,,45847
45851,45912,800,46712,-61,10,0,45851,45790,45844,,45843
45850,45912,800,46712,-62,10,0,45850,45817,45844,,45844
45858,45912,800,46712,-54,10,0,45851,45836,45845,,45844
45870,45912,800,46712,-42,10,0,45851,45857,45848,,45846
45885,45912,800,46712,-27,10,0,45851,45865,45852,,45850
45866,45912,800,46712,-46,10,0,45851,45869,45853,,45852
45858,45912,800,46712,-54,10,0,45858,45869,45853,,45853
45921,45912,800,46712,9,10,0,45858,45882,45861,,45857
45816,45912,800,46712,-96,10,0,45858,45865,45855,,45858
45805,45912,800,46712,-107,10,0,45858,45850,45848,,45851
45847,45912,800,46712,-65,10,0,45858,45847,45847,,45847
45858,45912,800,46712,-54,10,0,45858,45831,45848,,45847
45817,45912,800,46712,-95,10,0,45858,45831,45844,,45846
45860,45912,800,46712,-52,10,0,45858,45845,45846,,45845
45887,45912,800,46712,-25,10,0,45858,45855,45851,,45848
45908,45912,800,46712,-4,10,0,45858,45868,45858,,45854
45903,45912,800,46712,-9,10,0,45858,45889,45863,,45860
45931,45912,800,46712,19,10,0,45860,45907,45871,,45867
45850,45912,800,46712,-62,10,0,45860,45898,45868,,45869
45854,45912,800,46712,-58,10,0,45860,45884,45866,,45867
45932,45912,800,46712,20,10,0,45887,45891,45874,,45870
45809,45912,800,46712,-103,10,0,45887,45861,45865,,45869
45873,45912,800,46712,-39,10,0,45887,45867,45866,,45865
45874,45912,800,46712,-38,10,0,45874,45872,45867,,45866
45918,45912,800,46712,6,10,0,45874,45868,45873,,45870
45887,45912,800,46712,-25,10,0,45874,45888,45874,,45873
50799,45912,800,46712,4887,10,0,45874,47119,46489,,46181
49564,45912,800,46712,3652,10,0,45887,48042,46873,,46681
48686,45912,800,46712,2774,10,0,45918,48734,47099,,46986
47993,45912,800,46712,2081,10,0,45918,49260,47210,,47154
47487,45912,800,46712,1575,10,0,47487,48432,47244,,47227
47024,45912,800,46712,1112,10,0,47487,47797,47216,,47230
46714,45912,800,46712,802,10,0,47487,47304,47153,,47184
46552,45912,800,46712,640,10,0,47487,46944,47077,,47115
46311,45912,800,46712,399,10,0,47487,46650,46981,,47029
46152,45912,800,46712,240,10,0,47024,46432,46877,,46929
46127,45912,800,46712,215,10,0,46714,46285,46783,,46830
46114,45912,800,46712,202,10,0,46552,46176,46699,,46741
46013,45912,800,46712,101,10,0,46311,46101,46613,,46656
45959,45912,800,46712,47,10,0,46152,46053,46531,,46572
45950,45912,800,46712,38,10,0,46127,46009,46458,,46494
45911,45912,800,46712,-1,10,0,46114,45958,46389,,46423
45904,45912,800,46712,-8,10,0,46013,45931,46328,,46358
45940,45912,800,46712,28,10,0,45959,45926,46279,,46303
45912,45912,800,46712,0,10,0,45950,45916,46233,,46256
45878,45912,800,46712,-34,10,0,45940,45908,46188,,46210
45891,45912,800,46712,-21,10,0,45912,45905,46150,,46169
45821,45912,800,46712,-91,10,0,45911,45875,46108,,46129
45764,45912,800,46712,-148,10,0,45904,45838,46065,,46086
45800,45912,800,46712,-112,10,0,45891,45819,46031,,46048
45859,45912,800,46712,-53,10,0,45878,45811,46009,,46020
45802,45912,800,46712,-110,10,0,45859,45806,45983,,45996
45776,45912,800,46712,-136,10,0,45821,45809,45957,,45970
45810,45912,800,46712,-102,10,0,45810,45811,45938,,45947
45780,45912,800,46712,-132,10,0,45802,45792,45918,,45928
45794,45912,800,46712,-118,10,0,45800,45790,45902,,45910
45840,45912,800,46712,-72,10,0,45800,45806,45894,,45898
45876,45912,800,46712,-36,10,0,45802,45822,45891,,45892
45821,45912,800,46712,-91,10,0,45810,45832,45882,,45886
45879,45912,800,46712,-33,10,0,45810,45854,45881,,45881
45825,45912,800,46712,-87,10,0,45821,45850,45874,,45877
45826,45912,800,46712,-86,10,0,45825,45837,45868,,45871
45900,45912,800,46712,-12,10,0,45826,45857,45872,,45870
45920,45912,800,46712,8,10,0,45840,45867,45878,,45875
45859,45912,800,46712,-53,10,0,45859,45876,45875,,45876
45859,45912,800,46712,-53,10,0,45859,45884,45873,,45874
45865,45912,800,46712,-47,10,0,45859,45875,45872,,45872
45895,45912,800,46712,-17,10,0,45865,45869,45874,,45873
45917,45912,800,46712,5,10,0,45865,45884,45879,,45876
45936,45912,800,46712,24,10,0,45895,45903,45886,,45882
45878,45912,800,46712,-34,10,0,45895,45906,45885,,45885
45882,45912,800,46712,-30,10,0,45882,45903,45884,,45884
45864,45912,800,46712,-48,10,0,45878,45890,45881,,45882
45845,45912,800,46712,-67,10,0,45878,45867,45876,,45878
45836,45912,800,46712,-76,10,0,45878,45856,45871,,45873
45870,45912,800,46712,-42,10,0,45878,45853,45870,,45870
45808,45912,800,46712,-104,10,0,45870,45839,45862,,45866
45785,45912,800,46712,-127,10,0,45864,45824,45852,,45857
45859,46937,800,47737,-1078,10,0,45859,45830,45852,,45852
