2024-04-16T17:44:37
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
46114,46188,800,-74,10,0,-,-,-,-,-,-,-,-
46123,46188,800,-65,10,0,-,-,-,-,-,-,-,-
46148,46188,800,-40,10,0,-,-,-,-,-,-,-,-
46116,46188,800,-72,10,0,-,-,-,-,-,-,-,-
46111,46188,800,-77,10,0,-,-,-,-,-,-,-,-
46112,46188,800,-76,10,0,-,-,-,-,-,-,-,-
46121,46188,800,-67,10,0,-,-,-,-,-,-,-,-
46141,46188,800,-47,10,0,-,-,-,-,-,-,-,-
46168,46188,800,-20,10,0,-,-,-,-,-,-,-,-
46160,46188,800,-28,10,0,-,-,-,-,-,-,-,-
46089,46188,800,-99,10,0,-,-,-,-,-,-,-,-
46064,46188,800,-124,10,0,-,-,-,-,-,-,-,-
46187,46188,800,-1,10,0,-,-,-,-,-,-,-,-
46140,46188,800,-48,10,0,-,-,-,-,-,-,-,-
46119,46188,800,-69,10,0,-,-,-,-,-,-,-,-
46131,46188,800,-57,10,0,-,-,-,-,-,-,-,-
46112,46188,800,-76,10,0,-,-,-,-,-,-,-,-
46133,46188,800,-55,10,0,-,-,-,-,-,-,-,-
46124,46188,800,-64,10,0,-,-,-,-,-,-,-,-
46142,46188,800,-46,10,0,-,-,-,-,-,-,-,-
46136,46188,800,-52,10,0,-,-,-,-,-,-,-,-
46120,46188,800,-68,10,0,-,-,-,-,-,-,-,-
46131,46188,800,-57,10,0,-,-,-,-,-,-,-,-
46151,46188,800,-37,10,0,-,-,-,-,-,-,-,-
46166,46188,800,-22,10,0,-,-,-,-,-,-,-,-
46217,46188,800,29,10,0,-,-,-,-,-,-,-,-
46222,46188,800,34,10,0,-,-,-,-,-,-,-,-
46190,46188,800,2,10,0,-,-,-,-,-,-,-,-
46177,46188,800,-11,10,0,-,-,-,-,-,-,-,-
46138,46188,800,-50,10,0,-,-,-,-,-,-,-,-
46137,46188,800,-51,10,0,-,-,-,-,-,-,-,-
46157,46188,800,-31,10,0,-,-,-,-,-,-,-,-
46180,46188,800,-8,10,0,-,-,-,-,-,-,-,-
46167,46188,800,-21,10,0,-,-,-,-,-,-,-,-
46145,46188,800,-43,10,0,-,-,-,-,-,-,-,-
46147,46188,800,-41,10,0,-,-,-,-,-,-,-,-
46147,46188,800,-41,10,0,-,-,-,-,-,-,-,-
46269,46188,800,81,10,0,-,-,-,-,-,-,-,-
46241,46188,800,53,10,0,-,-,-,-,-,-,-,-
46255,46188,800,67,10,0,-,-,-,-,-,-,-,-
46235,46188,800,47,10,0,-,-,-,-,-,-,-,-
46169,46188,800,-19,10,0,-,-,-,-,-,-,-,-
46173,46188,800,-15,10,0,-,-,-,-,-,-,-,-
46183,46188,800,-5,10,0,-,-,-,-,-,-,-,-
46201,46188,800,13,10,0,-,-,-,-,-,-,-,-
46181,46188,800,-7,10,0,-,-,-,-,-,-,-,-
46178,46188,800,-10,10,0,-,-,-,-,-,-,-,-
46139,46188,800,-49,10,0,-,-,-,-,-,-,-,-
46169,46188,800,-19,10,0,-,-,-,-,-,-,-,-
46157,46188,800,-31,10,0,-,-,-,-,-,-,-,-
46204,46188,800,16,10,0,-,-,-,-,-,-,-,-
46214,46188,800,26,10,0,-,-,-,-,-,-,-,-
46219,46188,800,31,10,0,-,-,-,-,-,-,-,-
46183,46188,800,-5,10,0,-,-,-,-,-,-,-,-
46127,46188,800,-61,10,0,-,-,-,-,-,-,-,-
46159,46188,800,-29,10,0,-,-,-,-,-,-,-,-
46160,46188,800,-28,10,0,-,-,-,-,-,-,-,-
46159,46188,800,-29,10,0,-,-,-,-,-,-,-,-
46189,46188,800,1,10,0,-,-,-,-,-,-,-,-
46189,46188,800,1,10,0,-,-,-,-,-,-,-,-
46173,46188,800,-15,10,0,-,-,-,-,-,-,-,-
46174,46188,800,-14,10,0,-,-,-,-,-,-,-,-
46180,46188,800,-8,10,0,-,-,-,-,-,-,-,-
46317,46188,800,129,10,0,-,-,-,-,-,-,-,-
46293,46188,800,105,10,0,-,-,-,-,-,-,-,-
46283,46188,800,95,10,0,-,-,-,-,-,-,-,-
46268,46188,800,80,10,0,-,-,-,-,-,-,-,-
46223,46188,800,35,10,0,-,-,-,-,-,-,-,-
46202,46188,800,14,10,0,-,-,-,-,-,-,-,-
46170,46188,800,-18,10,0,-,-,-,-,-,-,-,-
46176,46188,800,-12,10,0,-,-,-,-,-,-,-,-
46147,46188,800,-41,10,0,-,-,-,-,-,-,-,-
46152,46188,800,-36,10,0,-,-,-,-,-,-,-,-
46165,46188,800,-23,10,0,-,-,-,-,-,-,-,-
46190,46188,800,2,10,0,-,-,-,-,-,-,-,-
46179,46188,800,-9,10,0,-,-,-,-,-,-,-,-
46181,46188,800,-7,10,0,-,-,-,-,-,-,-,-
46217,46188,800,29,10,0,-,-,-,-,-,-,-,-
46220,46188,800,32,10,0,-,-,-,-,-,-,-,-
46199,46188,800,11,10,0,-,-,-,-,-,-,-,-
46191,46188,800,3,10,0,-,-,-,-,-,-,-,-
46163,46188,800,-25,10,0,-,-,-,-,-,-,-,-
46172,46188,800,-16,10,0,-,-,-,-,-,-,-,-
46185,46188,800,-3,10,0,-,-,-,-,-,-,-,-
46175,46188,800,-13,10,0,-,-,-,-,-,-,-,-
46179,46188,800,-9,10,0,-,-,-,-,-,-,-,-
46141,46188,800,-47,10,0,-,-,-,-,-,-,-,-
46126,46188,800,-62,10,0,-,-,-,-,-,-,-,-
46128,46188,800,-60,10,0,-,-,-,-,-,-,-,-
46147,46188,800,-41,10,0,-,-,-,-,-,-,-,-
46180,46188,800,-8,10,0,-,-,-,-,-,-,-,-
46200,46188,800,12,10,0,-,-,-,-,-,-,-,-
46165,46188,800,-23,10,0,-,-,-,-,-,-,-,-
46167,46188,800,-21,10,0,-,-,-,-,-,-,-,-
46172,46188,800,-16,10,0,-,-,-,-,-,-,-,-
46143,46188,800,-45,10,0,-,-,-,-,-,-,-,-
46144,46188,800,-44,10,0,-,-,-,-,-,-,-,-
46175,46188,800,-13,10,0,-,-,-,-,-,-,-,-
46157,46188,800,-31,10,0,-,-,-,-,-,-,-,-
46125,46188,800,-63,10,0,-,-,-,-,-,-,-,-
46075,46188,800,-113,10,0,-,-,-,-,-,-,-,-
46112,46188,800,-76,10,0,-,-,-,-,-,-,-,-
